   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.691799E-02   10.2227       1.31742       1.66570       1.12500       1.57289      0.192425      0.928075E-01   2.69789      0.688825      0.674398      0.598816      0.436171      0.299418       0.00000      0.599079    
  0.758542E-02   9.63953       1.27366       1.59397       1.07130       1.49547      0.202361      0.984934E-01   2.56677      0.658775      0.643589      0.569915      0.412520      0.281690       0.00000      0.570193    
  0.831724E-02   9.08361       1.23224       1.52526       1.01950       1.42075      0.212739      0.104512       2.44025      0.629682      0.613710      0.541975      0.389821      0.264771       0.00000      0.542269    
  0.911966E-02   8.54148       1.19205       1.45812      0.968682       1.34740      0.223364      0.110717       2.31608      0.601076      0.584302      0.514525      0.367607      0.248263       0.00000      0.514833    
  0.999950E-02   8.01706       1.15363       1.39314      0.919146       1.27584      0.234483      0.117298       2.19499      0.573108      0.555504      0.487722      0.346038      0.232295       0.00000      0.488043    
  0.109642E-01   7.51529       1.11706       1.33063      0.871178       1.20652      0.245886      0.124107       2.07770      0.545924      0.527476      0.461712      0.325254      0.216998       0.00000      0.462045    
  0.120220E-01   7.04789       1.08339       1.27193      0.825608       1.14061      0.257786      0.131319       1.96622      0.519936      0.500622      0.436917      0.305673      0.202725       0.00000      0.437261    
  0.131819E-01   6.60234       1.05167       1.21576      0.781591       1.07690      0.270082      0.138859       1.85849      0.494716      0.474523      0.412911      0.286875      0.189114       0.00000      0.413265    
  0.144536E-01   6.17763       1.02182       1.16203      0.739064       1.01531      0.282753      0.146720       1.75438      0.470233      0.449150      0.389665      0.268831      0.176136       0.00000      0.390026    
  0.158481E-01   5.77159      0.993633       1.11051      0.697880      0.955638      0.295754      0.154872       1.65352      0.446411      0.424433      0.367106      0.251469      0.163731       0.00000      0.367474    
  0.173770E-01   5.38365      0.967069       1.06114      0.658004      0.897834      0.309064      0.163302       1.55584      0.423231      0.400358      0.345221      0.234773      0.151882       0.00000      0.345594    
  0.190535E-01   5.01484      0.942210       1.01406      0.619526      0.842034      0.322684      0.172021       1.46156      0.400736      0.376972      0.324058      0.218790      0.140628       0.00000      0.324434    
  0.208917E-01   4.66408      0.918945      0.969148      0.582378      0.788150      0.336567      0.180998       1.37053      0.378890      0.354249      0.303587      0.203488      0.129936       0.00000      0.303965    
  0.229073E-01   4.32958      0.897100      0.926210      0.546442      0.736022      0.350658      0.190188       1.28246      0.357634      0.332136      0.283753      0.188807      0.119756       0.00000      0.284131    
  0.251174E-01   4.01084      0.876607      0.885183      0.511693      0.685625      0.364914      0.199558       1.19732      0.336956      0.310627      0.264548      0.174737      0.110075       0.00000      0.264923    
  0.275406E-01   3.70886      0.857518      0.846189      0.478227      0.637112      0.379291      0.209078       1.11534      0.316901      0.289781      0.246029      0.161326      0.100930       0.00000      0.246401    
  0.301976E-01   3.42251      0.839694      0.809083      0.445977      0.590397      0.393717      0.218686       1.03637      0.297436      0.269576      0.228168      0.148541      0.922875E-01   0.00000      0.228534    
  0.331110E-01   3.15036      0.822971      0.773676      0.414851      0.545362      0.408120      0.228314      0.960213      0.278516      0.249973      0.210923      0.136335      0.841062E-01   0.00000      0.211282    
  0.363055E-01   2.89196      0.807262      0.739896      0.384834      0.502000      0.422428      0.237896      0.886834      0.260136      0.230980      0.194295      0.124698      0.763748E-01   0.00000      0.194645    
  0.398081E-01   2.64833      0.792566      0.707823      0.356034      0.460493      0.436532      0.247329      0.816528      0.242349      0.212671      0.178353      0.113685      0.691298E-01   0.00000      0.178693    
  0.436487E-01   2.41833      0.778718      0.677277      0.328386      0.420763      0.450332      0.256514      0.749149      0.225126      0.195027      0.163071      0.103260      0.623371E-01   0.00000      0.163399    
  0.478598E-01   2.20081      0.765560      0.648075      0.301819      0.382720      0.463741      0.265354      0.684539      0.208436      0.178027      0.148419      0.933827E-01  0.559610E-01   0.00000      0.148733    
  0.524772E-01   1.99543      0.752978      0.620113      0.276330      0.346379      0.476648      0.273734      0.622709      0.192281      0.161685      0.134403      0.840486E-01  0.499921E-01   0.00000      0.134702    
  0.575400E-01   1.80318      0.740892      0.593399      0.252043      0.311957      0.488850      0.281442      0.563999      0.176729      0.146098      0.121109      0.753134E-01  0.444654E-01   0.00000      0.121393    
  0.630913E-01   1.62295      0.729121      0.567716      0.228890      0.279367      0.500231      0.288348      0.508257      0.161753      0.131248      0.108508      0.671367E-01  0.393444E-01   0.00000      0.108774    
