   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.398081E-01   2.50447      0.614263      0.506132      0.243016      0.306059      0.371247      0.200074      0.549075      0.208013      0.177192      0.128690      0.350025E-01   0.00000       0.00000      0.128866    
  0.436487E-01   2.40448      0.622977      0.502073      0.232159      0.288175      0.390818      0.213898      0.520335      0.199034      0.166929      0.121072      0.331257E-01   0.00000       0.00000      0.121247    
  0.478598E-01   2.30251      0.631993      0.498423      0.221177      0.270217      0.410815      0.228205      0.491395      0.189942      0.156609      0.113437      0.312349E-01   0.00000       0.00000      0.113609    
  0.524772E-01   2.19858      0.641248      0.495151      0.210076      0.252222      0.431171      0.242929      0.462298      0.180742      0.146254      0.105800      0.293347E-01   0.00000       0.00000      0.105968    
  0.575400E-01   2.09254      0.650682      0.492248      0.198854      0.234241      0.451827      0.258007      0.433095      0.171424      0.135893      0.981849E-01  0.274304E-01   0.00000       0.00000      0.983477E-01
  0.630913E-01   1.98460      0.660188      0.489621      0.187534      0.216335      0.472654      0.273286      0.403869      0.162004      0.125563      0.906152E-01  0.255294E-01   0.00000       0.00000      0.907722E-01
  0.691782E-01   1.87502      0.669666      0.487173      0.176137      0.198566      0.493530      0.288607      0.374703      0.152499      0.115300      0.831159E-01  0.236383E-01   0.00000       0.00000      0.832662E-01
  0.758523E-01   1.76397      0.679015      0.484802      0.164684      0.181004      0.514330      0.303798      0.345688      0.142920      0.105145      0.757156E-01  0.217642E-01   0.00000       0.00000      0.758585E-01
  0.831703E-01   1.65158      0.688074      0.482360      0.153200      0.163771      0.534874      0.318590      0.316970      0.133281      0.951694E-01  0.684663E-01  0.199186E-01   0.00000       0.00000      0.686011E-01
  0.911943E-01   1.53829      0.696713      0.479669      0.141722      0.146944      0.554991      0.332725      0.288666      0.123613      0.854194E-01  0.613987E-01  0.181091E-01   0.00000       0.00000      0.615249E-01
  0.999925E-01   1.42441      0.704819      0.476557      0.130275      0.130579      0.574544      0.345978      0.260854      0.113936      0.759288E-01  0.545331E-01  0.163382E-01   0.00000       0.00000      0.546501E-01
  0.109639       1.31053      0.712212      0.472798      0.118915      0.114800      0.593297      0.357997      0.233716      0.104294      0.667705E-01  0.479224E-01  0.146207E-01   0.00000       0.00000      0.480299E-01
  0.120217       1.19722      0.718575      0.468003      0.107709      0.998012E-01  0.610866      0.368202      0.207511      0.947361E-01  0.580568E-01  0.416466E-01  0.129733E-01   0.00000       0.00000      0.417444E-01
  0.131815       1.08503      0.723751      0.461941      0.966999E-01  0.856182E-01  0.627051      0.376322      0.182318      0.853018E-01  0.498117E-01  0.357185E-01  0.113981E-01   0.00000       0.00000      0.358065E-01
  0.144533      0.974706      0.727377      0.454191      0.859626E-01  0.723985E-01  0.641415      0.381792      0.158361      0.760547E-01  0.421218E-01  0.301985E-01  0.990794E-02   0.00000       0.00000      0.302767E-01
  0.158477      0.866886      0.729167      0.444462      0.755548E-01  0.601952E-01  0.653612      0.384267      0.135750      0.670473E-01  0.350197E-01  0.251068E-01  0.850741E-02   0.00000       0.00000      0.251755E-01
